"Year","Month","Temperature","City"
1958,9,67.5,"NYC"
1958,10,55.5,"NYC"
1958,11,47.9,"NYC"
1958,12,29.3,"NYC"
1959,1,31.2,"NYC"
1959,2,32.1,"NYC"
1959,3,40.1,"NYC"
1959,4,53.7,"NYC"
1959,5,66.3,"NYC"
1959,6,71.2,"NYC"
1959,7,76.3,"NYC"
1959,8,77.5,"NYC"
1959,9,72.3,"NYC"
1959,10,59.8,"NYC"
1959,11,45.8,"NYC"
1959,12,38.4,"NYC"
1960,1,33.9,"NYC"
1960,2,36.2,"NYC"
1960,3,33.3,"NYC"
1960,4,54,"NYC"
1960,5,62.6,"NYC"
1960,6,71.8,"NYC"
1960,7,74.5,"NYC"
1960,8,74.9,"NYC"
1960,9,68,"NYC"
1960,10,58,"NYC"
1960,11,49.7,"NYC"
1960,12,30.9,"NYC"
1961,1,27.7,"NYC"
1961,2,36.6,"NYC"
1961,3,41.5,"NYC"
1961,4,49,"NYC"
1961,5,59.8,"NYC"
1961,6,72.4,"NYC"
1961,7,78.1,"NYC"
1961,8,76.4,"NYC"
1961,9,73.5,"NYC"
1961,10,61.1,"NYC"
1961,11,48.7,"NYC"
1961,12,35.5,"NYC"
1962,1,32.6,"NYC"
1962,2,31.8,"NYC"
1962,3,43.1,"NYC"
1962,4,53.3,"NYC"
1962,5,64.4,"NYC"
1962,6,72.5,"NYC"
1962,7,74,"NYC"
1962,8,72.4,"NYC"
1962,9,64.9,"NYC"
1962,10,57.4,"NYC"
1962,11,43.2,"NYC"
1962,12,31.5,"NYC"
1963,1,30.1,"NYC"
1963,2,28.2,"NYC"
1963,3,43.6,"NYC"
1963,4,53.7,"NYC"
1963,5,61.1,"NYC"
1963,6,70.9,"NYC"
1963,7,76.4,"NYC"
1963,8,72,"NYC"
1963,9,63,"NYC"
1963,10,61.8,"NYC"
1963,11,50.3,"NYC"
1963,12,31.2,"NYC"
1964,1,35.6,"NYC"
1964,2,32.8,"NYC"
1964,3,43.1,"NYC"
1964,4,49.7,"NYC"
1964,5,65.4,"NYC"
1964,6,71.6,"NYC"
1964,7,75.4,"NYC"
1964,8,72.9,"NYC"
1964,9,67.1,"NYC"
1964,10,55,"NYC"
1964,11,49.4,"NYC"
1964,12,36.4,"NYC"
1965,1,29.6,"NYC"
1965,2,33.9,"NYC"
1965,3,40,"NYC"
1965,4,50.6,"NYC"
1965,5,66.4,"NYC"
1965,6,70.1,"NYC"
1965,7,74.3,"NYC"
1965,8,73.1,"NYC"
1965,9,67.5,"NYC"
1965,10,57.3,"NYC"
